ESTACION,fecha,CLOROF_A,OD_mg/L_FON,P_TOT,TEMP_AGUA_FON
"LAGO DE CHAPALA, ESTACION LACUSTRE 27",09/03/2013,0.001,,0.0699,22.1
"LAGO DE CHAPALA, ESTACION LACUSTRE 27",08/07/2013,,,0.448,24
"LAGO DE CHAPALA, ESTACION LACUSTRE 27",18/08/2014,8.01,5.8,0.748,23.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 27",17/10/2014,2.6,5.7,0.778,23.2
"LAGO DE CHAPALA, ESTACION LACUSTRE 27",29/06/2015,5.214,6.39,0.732462,25
"LAGO DE CHAPALA, ESTACION LACUSTRE 27",18/10/2015,12.233,6.44,0.965883,26.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 27",08/06/2016,8.295,,0.646946,
"LAGO DE CHAPALA, ESTACION LACUSTRE 27",04/10/2016,0.001,,0.57156,
"LAGO DE CHAPALA, ESTACION LACUSTRE 27",07/05/2017,0.001,,0.511685,
"LAGO DE CHAPALA, ESTACION LACUSTRE 27",06/09/2017,0.001,,0.688049,
"LAGO DE CHAPALA, ESTACION LACUSTRE 27",09/02/2018,0.001,,0.506369,
"LAGO DE CHAPALA, ESTACION LACUSTRE 27",24/07/2018,0.001,,0.534896,
"LAGO DE CHAPALA, ESTACION LACUSTRE 27",30/10/2018,1.896,6.5,0.483866,23.6
"LAGO DE CHAPALA, ESTACION LACUSTRE 27",19/02/2019,0.001,7.16,0.433781,20.9
"LAGO DE CHAPALA, ESTACION LACUSTRE 27",17/08/2020,,6.9,0.382099,26
"LAGO DE CHAPALA, ESTACION LACUSTRE 27",15/10/2021,6.4048,6.9,0.786313,24.2
"LAGO DE CHAPALA, ESTACION LACUSTRE 11",26/08/2020,4.2832,2.9,1.052216,21.2
"LAGO DE CHAPALA, ESTACION LACUSTRE 11",04/12/2012,4.39,7.24,0.3988,
"LAGO DE CHAPALA, ESTACION LACUSTRE 11",05/04/2013,6.8096,,0.5409,21.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 11",20/09/2013,6.462,,0.4748,23.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 11",25/02/2014,16.54,6.07,0.574,20.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 11",04/09/2014,20.9,5.8,0.637,23.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 11",07/04/2015,33.18,6.51,0.616742,22.1
"LAGO DE CHAPALA, ESTACION LACUSTRE 11",13/10/2015,18.206,6.69,0.780683,23.1
"LAGO DE CHAPALA, ESTACION LACUSTRE 11",10/06/2016,0.001,6,0.524287,23.9
"LAGO DE CHAPALA, ESTACION LACUSTRE 11",06/10/2016,0.001,,1.525503,
"LAGO DE CHAPALA, ESTACION LACUSTRE 11",03/05/2017,1.1904,6.6,0.955615,21.4
"LAGO DE CHAPALA, ESTACION LACUSTRE 11",28/08/2017,0.001,,0.523539,
"LAGO DE CHAPALA, ESTACION LACUSTRE 11",08/02/2018,0.001,,0.445161,
"LAGO DE CHAPALA, ESTACION LACUSTRE 11",29/07/2018,1.7016,3.2,0.44346,24.1
"LAGO DE CHAPALA, ESTACION LACUSTRE 11",01/11/2018,0.001,6.8,0.488372,21.7
"LAGO DE CHAPALA, ESTACION LACUSTRE 11",21/02/2019,0.001,7.19,0.35998,18.6
"LAGO DE CHAPALA, ESTACION LACUSTRE 11",19/08/2020,5.5756,6.46,0.495731,22.9
"LAGO DE CHAPALA, ESTACION LACUSTRE 11",14/10/2021,8.9896,6.7,0.569032,22.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 12",31/08/2022,,6.23,,24
"LAGO DE CHAPALA, ESTACION LACUSTRE 12",22/11/2012,0.001,8.6,0.537,
"LAGO DE CHAPALA, ESTACION LACUSTRE 12",17/03/2013,0.001,,0.0309,17.2
"LAGO DE CHAPALA, ESTACION LACUSTRE 12",09/07/2013,,,0.0297,
"LAGO DE CHAPALA, ESTACION LACUSTRE 12",17/07/2014,4.41,5.6,0.811,23.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 12",21/08/2014,16.87,4.7,0.786,23.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 12",21/04/2015,0.95,0.001,0.6201,22.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 12",18/08/2015,14.0696,6.68,0.785205,23
"LAGO DE CHAPALA, ESTACION LACUSTRE 12",10/06/2016,0.001,,0.553796,
"LAGO DE CHAPALA, ESTACION LACUSTRE 12",06/10/2016,0.001,,1.233757,
"LAGO DE CHAPALA, ESTACION LACUSTRE 12",03/05/2017,1.0001,,0.509837,
"LAGO DE CHAPALA, ESTACION LACUSTRE 12",28/08/2017,0.001,,0.537306,
"LAGO DE CHAPALA, ESTACION LACUSTRE 12",08/02/2018,0.001,,0.442928,
"LAGO DE CHAPALA, ESTACION LACUSTRE 12",29/07/2018,0.001,3.9,0.51443,24
"LAGO DE CHAPALA, ESTACION LACUSTRE 12",01/11/2018,0.001,8,0.468649,21.2
"LAGO DE CHAPALA, ESTACION LACUSTRE 12",21/02/2019,0.001,7.3,0.386476,18.9
"LAGO DE CHAPALA, ESTACION LACUSTRE 12",19/08/2020,1.7664,6.81,0.455317,22.9
"LAGO DE CHAPALA, ESTACION LACUSTRE 12",14/10/2021,4.3556,6.7,0.689134,22.4
"LAGO DE CHAPALA, ESTACION LACUSTRE 13",30/08/2022,,6.78,,24
"LAGO DE CHAPALA, ESTACION LACUSTRE 13",22/11/2012,0.001,6.8,4.032,
"LAGO DE CHAPALA, ESTACION LACUSTRE 13",17/03/2013,0.001,,0.0338,16.7
"LAGO DE CHAPALA, ESTACION LACUSTRE 13",09/07/2013,,,0.0428,
"LAGO DE CHAPALA, ESTACION LACUSTRE 13",17/07/2014,1.47,5.8,0.905,23.1
"LAGO DE CHAPALA, ESTACION LACUSTRE 13",20/08/2014,14.14,5.9,0.697,23.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 13",21/04/2015,0.3513,4.58,0.5942,22.4
"LAGO DE CHAPALA, ESTACION LACUSTRE 13",18/08/2015,15.3684,6.95,0.755151,22.9
"LAGO DE CHAPALA, ESTACION LACUSTRE 13",10/06/2016,6.778,,0.238517,
"LAGO DE CHAPALA, ESTACION LACUSTRE 13",05/10/2016,0.001,,0.59432,
"LAGO DE CHAPALA, ESTACION LACUSTRE 13",03/05/2017,1.1507,,0.482975,
"LAGO DE CHAPALA, ESTACION LACUSTRE 13",04/09/2017,0.001,,0.524529,
"LAGO DE CHAPALA, ESTACION LACUSTRE 13",07/02/2018,0.001,,0.481754,
"LAGO DE CHAPALA, ESTACION LACUSTRE 13",27/07/2018,1.3572,,0.489087,
"LAGO DE CHAPALA, ESTACION LACUSTRE 13",01/11/2018,0.001,6.9,0.464558,22
"LAGO DE CHAPALA, ESTACION LACUSTRE 13",20/02/2019,0.001,7.54,0.472123,18.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 13",20/08/2020,2.3084,6.71,0.538189,23.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 13",12/10/2021,5.6544,6.1,0.438668,22.1
"LAGO DE CHAPALA, ESTACION LACUSTRE 23",01/09/2022,,6.49,,23
"LAGO DE CHAPALA, ESTACION LACUSTRE 23",08/12/2012,3.25,6.68,0.5772,
"LAGO DE CHAPALA, ESTACION LACUSTRE 23",04/04/2013,58.7888,,0.5958,22.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 23",17/10/2013,0.001,,0.80393,23.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 23",24/02/2014,35.01,5.9,0.706,20.4
"LAGO DE CHAPALA, ESTACION LACUSTRE 23",17/09/2014,39.32,5,0.453,22.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 23",06/04/2015,0.001,5.55,0.648828,22.2
"LAGO DE CHAPALA, ESTACION LACUSTRE 23",12/10/2015,12.924,5.13,0.828321,22.4
"LAGO DE CHAPALA, ESTACION LACUSTRE 23",08/06/2016,10.665,,0.638803,
"LAGO DE CHAPALA, ESTACION LACUSTRE 23",04/10/2016,0.001,,1.094269,
"LAGO DE CHAPALA, ESTACION LACUSTRE 23",07/05/2017,0.001,,0.540846,
"LAGO DE CHAPALA, ESTACION LACUSTRE 23",06/09/2017,0.001,,0.67036,
"LAGO DE CHAPALA, ESTACION LACUSTRE 23",11/02/2018,0.001,,0.618846,
"LAGO DE CHAPALA, ESTACION LACUSTRE 23",24/07/2018,0.001,,1.145534,
"LAGO DE CHAPALA, ESTACION LACUSTRE 23",30/10/2018,0.001,,0.547716,
"LAGO DE CHAPALA, ESTACION LACUSTRE 23",19/02/2019,7.11,7.54,0.50519,20.9
"LAGO DE CHAPALA, ESTACION LACUSTRE 23",17/08/2020,,6.45,0.621463,27.1
"LAGO DE CHAPALA, ESTACION LACUSTRE 14",29/08/2022,,4.66,,26
"LAGO DE CHAPALA, ESTACION LACUSTRE 14",22/11/2012,0.001,7.06,3.243,
"LAGO DE CHAPALA, ESTACION LACUSTRE 14",16/03/2013,0.001,,0.0368,16.7
"LAGO DE CHAPALA, ESTACION LACUSTRE 14",09/07/2013,,,0.057,22.9
"LAGO DE CHAPALA, ESTACION LACUSTRE 14",17/07/2014,0.69,5.1,2.225,22.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 14",20/08/2014,10.74,5.3,0.598,23.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 14",21/04/2015,2.1269,5.02,0.6835,22.4
"LAGO DE CHAPALA, ESTACION LACUSTRE 14",18/08/2015,13.0536,5.3,1.821901,22.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 14",09/06/2016,0.001,,0.614715,
"LAGO DE CHAPALA, ESTACION LACUSTRE 14",05/10/2016,0.001,,0.592236,
"LAGO DE CHAPALA, ESTACION LACUSTRE 14",03/05/2017,3.9214,,0.532074,
"LAGO DE CHAPALA, ESTACION LACUSTRE 14",04/09/2017,0.001,,0.319153,
"LAGO DE CHAPALA, ESTACION LACUSTRE 14",07/02/2018,0.001,,0.353287,
"LAGO DE CHAPALA, ESTACION LACUSTRE 14",27/07/2018,0.474,,0.544507,
"LAGO DE CHAPALA, ESTACION LACUSTRE 14",31/10/2018,0.001,6.8,0.482594,22.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 14",20/02/2019,0.001,7.27,0.426769,18.6
"LAGO DE CHAPALA, ESTACION LACUSTRE 14",20/08/2020,0.948,4.92,0.515799,22.7
"LAGO DE CHAPALA, ESTACION LACUSTRE 14",12/10/2021,3.8816,6,0.467321,22.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 15",30/08/2022,,7.02,,24
"LAGO DE CHAPALA, ESTACION LACUSTRE 15",22/11/2012,0.001,6.9,0.001,
"LAGO DE CHAPALA, ESTACION LACUSTRE 15",16/03/2013,0.001,,0.0378,16.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 15",09/07/2013,,,0.0236,
"LAGO DE CHAPALA, ESTACION LACUSTRE 15",17/07/2014,6.66,7,0.665,23.9
"LAGO DE CHAPALA, ESTACION LACUSTRE 15",20/08/2014,22,7.2,0.693,26.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 15",21/04/2015,0.4318,3.53,0.7558,22.1
"LAGO DE CHAPALA, ESTACION LACUSTRE 15",18/08/2015,13.0396,7.05,0.790739,23.7
"LAGO DE CHAPALA, ESTACION LACUSTRE 15",09/06/2016,0.001,,0.594453,
"LAGO DE CHAPALA, ESTACION LACUSTRE 15",05/10/2016,0.001,,0.53926,
"LAGO DE CHAPALA, ESTACION LACUSTRE 15",03/05/2017,3.7892,,0.494461,
"LAGO DE CHAPALA, ESTACION LACUSTRE 15",04/09/2017,0.001,,0.55283,
"LAGO DE CHAPALA, ESTACION LACUSTRE 15",07/02/2018,0.001,,0.488814,
"LAGO DE CHAPALA, ESTACION LACUSTRE 15",27/07/2018,0.8184,3.3,0.513179,24.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 15",31/10/2018,0.001,6.6,0.488205,22
"LAGO DE CHAPALA, ESTACION LACUSTRE 15",20/02/2019,0.001,7.63,0.352758,19.9
"LAGO DE CHAPALA, ESTACION LACUSTRE 15",21/08/2020,,6.9,0.653092,23.1
"LAGO DE CHAPALA, ESTACION LACUSTRE 15",12/10/2021,5.9212,5.9,0.491748,24.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 04",01/09/2022,,6.4,,24
"LAGO DE CHAPALA, ESTACION LACUSTRE 04",22/11/2012,0.001,5.3,0.001,
"LAGO DE CHAPALA, ESTACION LACUSTRE 04",17/03/2013,0.001,,0.0288,17.6
"LAGO DE CHAPALA, ESTACION LACUSTRE 04",09/07/2013,,,0.021,
"LAGO DE CHAPALA, ESTACION LACUSTRE 04",18/07/2014,1.54,5.4,0.666,23.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 04",21/08/2014,12.32,5.5,1.436,23.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 04",22/04/2015,0.2893,3.4,0.6663,22.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 04",19/08/2015,16.146,6.19,0.726541,23.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 04",13/06/2016,8.224,,0.541391,
"LAGO DE CHAPALA, ESTACION LACUSTRE 04",06/10/2016,0.001,,0.578566,
"LAGO DE CHAPALA, ESTACION LACUSTRE 04",04/05/2017,1.6227,,0.249173,
"LAGO DE CHAPALA, ESTACION LACUSTRE 04",29/08/2017,0.001,,0.562421,
"LAGO DE CHAPALA, ESTACION LACUSTRE 04",06/02/2018,1.3572,,0.470952,
"LAGO DE CHAPALA, ESTACION LACUSTRE 04",26/07/2018,0.001,,0.489145,
"LAGO DE CHAPALA, ESTACION LACUSTRE 04",01/11/2018,0.001,7.5,0.469346,22.1
"LAGO DE CHAPALA, ESTACION LACUSTRE 04",21/02/2019,0.001,7.65,0.405673,19.7
"LAGO DE CHAPALA, ESTACION LACUSTRE 04",19/08/2020,1.7696,6.66,0.526788,23.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 04",14/10/2021,6.9436,7,0.506005,23.7
"LAGO DE CHAPALA, ESTACION LACUSTRE 03",31/08/2022,,6.81,,24
"LAGO DE CHAPALA, ESTACION LACUSTRE 03",22/11/2012,0.137,5.2,0.001,
"LAGO DE CHAPALA, ESTACION LACUSTRE 03",17/03/2013,0.001,,0.0307,17.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 03",09/07/2013,,,0.046,
"LAGO DE CHAPALA, ESTACION LACUSTRE 03",21/08/2014,5.23,6.1,0.61,23.2
"LAGO DE CHAPALA, ESTACION LACUSTRE 03",22/04/2015,0.001,2.99,0.7495,22
"LAGO DE CHAPALA, ESTACION LACUSTRE 03",19/08/2015,9.766,6.79,0.758775,23.1
"LAGO DE CHAPALA, ESTACION LACUSTRE 03",13/06/2016,0.001,,0.506526,
"LAGO DE CHAPALA, ESTACION LACUSTRE 03",06/10/2016,0.001,,0.525569,
"LAGO DE CHAPALA, ESTACION LACUSTRE 03",04/05/2017,0.001,,0.806439,
"LAGO DE CHAPALA, ESTACION LACUSTRE 03",29/08/2017,0.001,,0.545127,
"LAGO DE CHAPALA, ESTACION LACUSTRE 03",06/02/2018,3.1236,,0.441116,
"LAGO DE CHAPALA, ESTACION LACUSTRE 03",26/07/2018,0.8832,,0.500169,
"LAGO DE CHAPALA, ESTACION LACUSTRE 03",01/11/2018,0.001,7.2,0.438616,22.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 03",21/02/2019,0.001,7.82,0.437609,19.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 03",19/08/2020,2.1756,5.97,0.328221,23.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 03",14/10/2021,9.996,7.2,0.385484,23.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 02",01/09/2022,,6.48,,25
"LAGO DE CHAPALA, ESTACION LACUSTRE 02",12/12/2012,,7.39,0.5135,
"LAGO DE CHAPALA, ESTACION LACUSTRE 02",26/04/2013,132.824,,0.5983,22.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 02",21/09/2013,3.4712,,0.4497,24
"LAGO DE CHAPALA, ESTACION LACUSTRE 02",26/02/2014,9.24,6.98,0.595,19.9
"LAGO DE CHAPALA, ESTACION LACUSTRE 02",03/09/2014,27.99,5.9,0.567,23.5
"LAGO DE CHAPALA, ESTACION LACUSTRE 02",08/04/2015,100.628,5.36,0.628354,22.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 02",14/10/2015,12.9068,6.83,0.690576,24.3
"LAGO DE CHAPALA, ESTACION LACUSTRE 02",13/06/2016,14.741,,0.531775,
"LAGO DE CHAPALA, ESTACION LACUSTRE 02",06/10/2016,0.001,,0.515435,
"LAGO DE CHAPALA, ESTACION LACUSTRE 02",04/05/2017,0.8238,,0.488378,
"LAGO DE CHAPALA, ESTACION LACUSTRE 02",05/09/2017,0.001,,0.481993,
"LAGO DE CHAPALA, ESTACION LACUSTRE 02",06/02/2018,2.154,,0.370018,
"LAGO DE CHAPALA, ESTACION LACUSTRE 02",26/07/2018,0.8832,,0.492257,
"LAGO DE CHAPALA, ESTACION LACUSTRE 02",01/11/2018,0.001,7.3,0.512903,22.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 02",21/02/2019,0.001,7.51,0.421563,19.8
"LAGO DE CHAPALA, ESTACION LACUSTRE 02",19/08/2020,2.8376,6.57,0.282264,24
"LAGO DE CHAPALA, ESTACION LACUSTRE 02",14/10/2021,8.8504,6.1,0.405317,23.5
